,Date,Density,AVG_COEF,Modularity,AD_Pv,AD_Sv,AD_Cv,B_Sv,B_Cv
0,2020-01-30,0.09722222222222222,0.6481481481481483,0.16666666666666674,0.06666666666666667,0.125,0.1,1.5333333333333334,0.9
1,2020-01-31,0.09722222222222222,0.6481481481481483,0.16666666666666674,0.06666666666666667,0.125,0.1,1.5333333333333334,0.9
2,2020-02-01,0.09722222222222222,0.6481481481481483,0.16666666666666674,0.06666666666666667,0.125,0.1,1.5333333333333334,0.9
3,2020-02-02,0.08181818181818182,0.5454545454545454,0.14141414141414127,0.045454545454545456,0.1,0.06666666666666667,1.5263157894736843,0.7333333333333333
4,2020-02-03,0.07777777777777778,0.23333333333333334,0.1349206349206349,0.05454545454545454,0.1111111111111111,0.08,1.5294117647058822,0.8
5,2020-02-04,0.11904761904761904,0.05952380952380953,0.18571428571428578,0.10714285714285714,0.16666666666666666,0.16666666666666666,1.5454545454545454,1.1666666666666667
6,2020-02-05,0.11904761904761904,0.05952380952380953,0.18571428571428578,0.10714285714285714,0.16666666666666666,0.16666666666666666,1.5454545454545454,1.1666666666666667
7,2020-02-06,0.13333333333333333,0.1111111111111111,0.20833333333333334,0.14285714285714285,0.2,0.2222222222222222,1.5555555555555556,1.3333333333333333
8,2020-02-07,0.13333333333333333,0.1111111111111111,0.20833333333333334,0.14285714285714285,0.2,0.2222222222222222,1.5555555555555556,1.3333333333333333
9,2020-02-08,0.13333333333333333,0.1111111111111111,0.20833333333333334,0.14285714285714285,0.2,0.2222222222222222,1.5555555555555556,1.3333333333333333
10,2020-02-09,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.5,0.5,1.0,1.6666666666666667,3.0
11,2020-02-10,0.0,0.0,0.5,1.0,1.0,2.0,2.0,4.0
12,2020-02-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-02-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-02-13,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.5,0.5,1.0,1.6666666666666667,3.0
15,2020-02-14,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.5,0.5,1.0,1.6666666666666667,3.0
16,2020-02-15,0.3333333333333333,0.3333333333333333,0.4166666666666667,0.5,0.5,1.0,1.6666666666666667,3.0
17,2020-02-16,0.13333333333333333,0.6666666666666666,0.21666666666666667,0.14285714285714285,0.2,0.2222222222222222,1.5555555555555556,1.3333333333333333
18,2020-02-17,0.06818181818181818,2.25,0.12373737373737359,0.038461538461538464,0.09090909090909091,0.05555555555555555,1.5238095238095237,0.6666666666666666
19,2020-02-18,0.05238095238095238,2.566666666666667,0.09696969696969696,0.025,0.07142857142857142,0.03571428571428571,1.5185185185185186,0.5357142857142857
20,2020-02-19,0.039473684210526314,2.6875,0.07403508771929815,0.014285714285714285,0.05263157894736842,0.02,1.5135135135135136,0.4
21,2020-02-20,0.030797101449275364,1.5347222222222223,0.05807757885762986,0.01,0.043478260869565216,0.013888888888888888,1.511111111111111,0.3333333333333333
22,2020-02-21,0.027777777777777776,1.6624999999999999,0.052595112118921865,0.007389162561576354,0.037037037037037035,0.01020408163265306,1.509433962264151,0.2857142857142857
23,2020-02-22,0.017113783533765033,2.1705167173252278,0.032914968622646604,0.0026595744680851063,0.021739130434782608,0.0036231884057971015,1.5054945054945055,0.17028985507246377
24,2020-02-23,0.015151515151515152,1.3984061393152303,0.028866442199776472,0.001948051948051948,0.018518518518518517,0.0026455026455026454,1.5046728971962617,0.1455026455026455
25,2020-02-24,0.013568868407578085,0.4152725140820379,0.02584316339642167,0.001488095238095238,0.016129032258064516,0.0020161290322580645,1.5040650406504066,0.12701612903225806
26,2020-02-25,0.01187122736418511,0.8929708788863718,0.022801214064043365,0.0011737089201877935,0.014285714285714285,0.0015873015873015873,1.5035971223021583,0.1126984126984127
27,2020-02-26,0.01141552511415525,1.2775603392041748,0.022012937595129012,0.0011106997408367272,0.013888888888888888,0.0015015015015015015,1.5034965034965035,0.10960960960960961
28,2020-02-27,0.01087719298245614,1.2278632186526923,0.021027164685908054,0.0010252904989747095,0.013333333333333334,0.0013850415512465374,1.5033557046979866,0.10526315789473684
29,2020-02-28,0.010656010656010656,1.7716414639491562,0.020549762737262736,0.0009737098344693282,0.012987012987012988,0.0013149243918474688,1.5032679738562091,0.10256410256410256
30,2020-02-29,0.012956107879428873,1.4435931899641576,0.02496249689722486,0.0015360983102918587,0.01639344262295082,0.002081165452653486,1.5041322314049588,0.12903225806451613
31,2020-03-01,0.013309134906231096,1.3146141215106733,0.025587086839354265,0.0017533606078316774,0.017543859649122806,0.0023781212841854932,1.5044247787610618,0.13793103448275862
32,2020-03-02,0.017718715393133997,0.5664082687338501,0.03360326688815061,0.003171247357293869,0.023809523809523808,0.004329004329004329,1.5060240963855422,0.18614718614718614
33,2020-03-03,0.020917678812415654,1.1560337810337808,0.039615166949631915,0.0038461538461538464,0.02631578947368421,0.005263157894736842,1.5066666666666666,0.20526315789473684
34,2020-03-04,0.01916376306620209,1.795294784580499,0.03635659733220759,0.0033222591362126247,0.024390243902439025,0.0045351473922902496,1.5061728395061729,0.19047619047619047
35,2020-03-05,0.017113783533765033,1.465130023640662,0.032639947996099976,0.0026595744680851063,0.021739130434782608,0.0036231884057971015,1.5054945054945055,0.17028985507246377
36,2020-03-06,0.012890094979647219,1.3424129353233833,0.02447094670189745,0.0013169446883230904,0.015151515151515152,0.0017825311942959,1.5038167938931297,0.11942959001782531
